,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
reportedCurrency,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF
cik,,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510
fillingDate,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
acceptedDate,2022-12-30 19:00:00,2021-12-30 19:00:00,2020-12-30 19:00:00,2019-12-30 19:00:00,2018-12-30 19:00:00,2017-12-30 19:00:00,2016-12-30 19:00:00,2015-12-30 19:00:00,2014-12-30 19:00:00,2013-12-30 19:00:00,2012-12-30 19:00:00,2011-12-30 19:00:00,2010-12-30 19:00:00,2009-12-30 19:00:00,2008-12-30 19:00:00,2007-12-30 19:00:00,2006-12-30 19:00:00,2005-12-30 19:00:00,2004-12-30 19:00:00,2003-12-30 19:00:00,2002-12-30 19:00:00,2001-12-30 19:00:00,2000-12-30 19:00:00
calendarYear,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,-7306000000,-1626000000,2666000000,3425000000,2011000000,-948000000,-2707000000,-2945000000,2324000000,2965000000,1685000000,2790000000,5920000000,6724000000,-8218000000,7760000000,11327000000,5890941000,5620507200,769518360,-3311918920,1592684580,5795686400
depreciationAndAmortization,1737000000,3041000000,1356000000,1275000000,936000000,894000000,937000000,4889000000,1285000000,1345000000,1294000000,1196000000,1166000000,1114000000,1174000000,894000000,1029000000,1539573000,2022790000,4811658280,3419735980,3762260130,1293680000
deferredIncomeTax,3810000000,225000000,434000000,589000000,800000000,2238000000,-193000000,32000000,684000000,695000000,-226000000,196000000,1224000000,875000000,-4935000000,-1076000000,646000000,-399051000,-72934400,-1543993360,30409940,0,-279758300
stockBasedCompensation,779000000,922000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
