,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
reportedCurrency,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF,CHF
cik,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510,0001159510
fillingDate,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
acceptedDate,2022-12-30 19:00:00,2021-12-30 19:00:00,2020-12-30 19:00:00,2019-12-30 19:00:00,2018-12-30 19:00:00,2017-12-30 19:00:00,2016-12-30 19:00:00,2015-12-30 19:00:00,2014-12-30 19:00:00,2013-12-30 19:00:00,2012-12-30 19:00:00,2011-12-30 19:00:00,2010-12-30 19:00:00,2009-12-30 19:00:00,2008-12-30 19:00:00,2007-12-30 19:00:00,2006-12-30 19:00:00,2005-12-30 19:00:00,2004-12-30 19:00:00,2003-12-30 19:00:00,2002-12-30 19:00:00,2001-12-30 19:00:00,2000-12-30 19:00:00
calendarYear,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,68933000000,166141000000,140410000000,102620000000,101189000000,110541000000,121933000000,93195000000,80593000000,70207000000,63708000000,112845000000,66991000000,53034000000,92047000000,42218000000,37168000000,33799488000,30552676000,27773293080,198507794700,207566036010,36939415300
shortTermInvestments,0,154000000,149000000,168000000,857000000,867000000,585000000,452000000,992000000,648000000,1216000000,1950000000,1847000000,2508000000,3424000000,3529000000,4643000000,0,0,0,0,0,0
cashAndShortTermInvestments,68933000000,166295000000,140559000000,102788000000,102046000000,111408000000,122518000000,93647000000,81585000000,70855000000,64924000000,114795000000,68838000000,55542000000,95471000000,45747000000,41811000000,33799488000,30552676000,27773293080,198507794700,207566036010,36939415300
netReceivables,13818000000,19571000000,40196000000,40336000000,43962000000,51637000000,38218000000,40200000000,47866000000,56904000000,51629000000,49536000000,43927000000,51448000000,68843000000,69069000000,61628000000,0,0,0,12300820730,11862008850,55581344100
inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
